scene_id,init_pos_x_cms,init_pos_y_cms,init_pos_z_cms,goal_pos_x_cms,goal_pos_y_cms,goal_pos_z_cms
235114801,85.75541,-905.3275,0.81128347,-385.10867,-999.67053,0.47229004
235114801,-1072.7632,61.545105,0.47229004,-209.68774,47.13025,0.47229004
235114801,-964.7771,-31.184357,0.47229004,-256.09296,57.96504,0.47229004
235114801,-913.8381,8.312342,0.47229004,-560.7693,-460.1571,0.47229004
235114801,-981.44354,-76.25797,0.47229004,-177.83737,156.37451,0.47229004
235114801,-322.44543,-41.70398,0.47229004,-1092.278,105.07867,0.47229004
235114801,-1105.8267,79.4211,0.47229004,-549.3973,-604.5137,0.47229004
235114801,-737.5583,175.2474,0.47229004,-894.6352,-155.46112,0.47229004
235114801,-551.65515,322.66714,0.47229004,-980.0548,-104.01903,0.47229004
235114801,-945.0351,-95.585785,0.47229004,-585.80176,-757.975,0.47229004
235114801,-281.9906,82.60591,0.47229004,-1104.8823,226.81091,0.47229004
235114801,-576.9152,-554.3965,0.47229004,-1006.66034,-15.018234,0.47229004
235114801,-1014.4292,133.66705,0.47229004,-133.65363,-143.0701,0.47229004
235114801,-604.367,-763.0803,0.47229004,-560.59357,153.02298,0.47229004
235114801,-919.692,-76.13568,0.47229004,-588.7975,134.4201,0.47229004
235114801,-566.1814,354.22903,0.73740643,-966.44666,-159.49902,0.47229004
235114801,-1147.7257,-12.993103,0.47229004,-177.29633,97.558716,0.47229004
235114801,-134.21393,-155.10355,0.47229004,-1007.6138,200.48785,0.47229004
235114801,-154.01933,-100.50514,0.47229004,-569.9544,-708.9259,0.47229004
235114801,-849.15564,173.07118,0.47229004,-575.0383,-596.0681,0.47229004
235114801,-1122.4486,37.875916,0.47229004,-552.5329,-620.8956,0.47229004
235114801,-1011.22375,-10.000923,0.47229004,-130.56653,56.15564,0.47229004
235114801,-983.41833,-51.783577,0.47229004,-316.5356,90.21568,0.47229004
235114801,-960.788,-168.95798,0.47229004,-307.13928,182.68059,0.47229004
235114801,-805.8966,157.96571,0.47229004,-557.96246,-751.12317,0.47229004
235114801,-977.87866,-177.57751,0.47229004,-199.61334,-3.0421143,0.47229004
235114801,-891.124,161.47533,0.47229004,-546.15015,-688.7847,0.47229004
235114801,-607.04224,-672.2908,0.47229004,-1107.123,62.48816,0.47229004
235114801,-1087.6708,127.49249,0.47229004,-559.64703,-620.75836,0.47229004
235114801,-630.54944,157.61899,0.47229004,-957.08167,-212.8739,0.47229004
235114801,-551.68695,-342.6324,0.47229004,-1077.5878,-12.714386,0.47229004
235114801,-937.85944,-70.84155,0.47229004,-242.96094,159.32323,0.47229004
235114801,-750.68115,149.94077,0.47229004,-571.1569,-656.65674,0.47229004
235114801,-601.29535,-364.2799,0.47229004,-513.93207,357.52155,1.048634
235114801,-999.66455,-24.03714,0.47229004,-616.5941,-613.3633,0.47229004
235114801,-177.9878,31.513468,0.47229004,-1044.2902,75.16638,0.47229004
235114801,-548.37836,361.91693,0.84469414,-994.6794,-15.07959,0.47229004
235114801,-316.67694,69.88095,0.47229004,-1153.5928,-17.839458,0.47229004
235114801,-543.3334,-373.31567,0.47229004,-1028.5238,-5.6196156,0.47229004
235114801,-529.9398,-756.8952,0.47229004,-135.0141,-173.76706,0.47229004
235114801,-148.03564,-184.51349,0.47229004,-973.4576,160.34378,0.47229004
235114801,-976.97516,-184.53564,0.47229004,-358.16876,32.548683,0.47229004
235114801,-1084.9185,196.90074,0.47229004,-244.51202,175.43845,0.47229004
235114801,-916.2325,-76.8015,0.47229004,-193.85428,124.5102,0.47229004
235114801,-546.5075,-749.0643,0.47229004,-905.04895,-92.443,0.47229004
235114801,-992.2991,-124.091125,0.47229004,-461.20795,9.518616,0.47229004
235114801,-1026.7117,173.88968,0.47229004,-137.07172,-144.26675,0.47229004
235114801,-220.59106,155.65817,0.47229004,-540.159,-561.8035,0.47229004
235114801,-315.4252,40.987007,0.47229004,-913.1786,-33.955322,0.47229004
235114801,-521.62036,347.15906,0.8618747,-1025.1022,-28.416012,0.47229004
235114801,-129.48166,89.332245,0.47229004,-1151.5779,-11.195526,0.47229004
235114801,-529.14545,-716.74255,0.47229004,-1093.4664,73.29126,0.47229004
235114801,-381.31848,89.24011,0.47229004,-1168.8982,-15.528389,0.47229004
235114801,-353.68695,-30.96659,0.47229004,-1114.7694,230.34314,0.47229004
235114801,-907.8451,-88.363434,0.47229004,-575.5839,-631.5686,0.47229004
235114801,-613.64294,-561.8571,0.47229004,-559.8351,160.72882,0.47229004
235114801,-1161.0593,-1.6179199,0.47229004,-136.46149,-154.27386,0.47229004
235114801,-606.25305,-682.8993,0.47229004,-1008.7245,196.90631,0.47229004
235114801,-563.5548,-670.0907,0.47229004,-1042.1569,139.47208,0.47229004
235114801,-568.63403,-698.10925,0.47229004,-654.1659,-55.351532,0.47229004
235114801,-151.64343,-184.00476,0.47229004,-593.1658,-668.51355,0.47229004
235114801,-555.91406,314.26837,0.47229004,-954.02826,27.187988,0.47229004
235114801,-980.59674,-209.45053,0.47229004,-397.60834,187.1036,0.47229004
235114801,-950.949,-62.768997,0.47229004,-392.71558,145.23535,0.47229004
235114801,-600.3186,-719.0633,0.47229004,-1089.3213,94.84241,0.47229004
235114801,-563.13367,-623.6925,0.47229004,-162.11005,-128.99242,0.47229004
235114801,-973.84393,-168.59842,0.47229004,-332.57922,214.51231,0.47229004
235114801,-997.0572,-83.71591,0.47229004,-160.9174,142.81358,0.47229004
235114801,-1106.8403,22.464195,0.47229004,-134.94121,-132.50041,0.47229004
235114801,-1011.7422,61.287354,0.47229004,-161.5911,23.813416,0.47229004
235114801,-942.22485,-194.33163,0.47229004,-195.00333,131.92676,0.47229004
235114801,-1065.2871,-4.911789,0.47229004,-569.1907,-580.41327,0.47229004
235114801,-1094.352,164.62833,0.47229004,-549.4742,-546.5089,0.47229004
235114801,-1113.2834,158.76608,0.47229004,-139.70148,-158.08722,0.47229004
235114801,-546.5179,368.2681,1.0431681,-920.49774,13.89595,0.47229004
235114801,-575.18604,-505.37262,0.47229004,-1158.0143,-19.498478,0.47229004
235114801,-1078.4343,9.128845,0.47229004,-577.83777,-486.63556,0.47229004
235114801,-863.9508,-161.82095,0.47229004,-561.94446,296.12897,0.47229004
235114801,80.82849,-902.55164,0.8930072,-347.2945,-816.63116,0.47229004
235114801,-1079.7532,223.3424,0.47229004,-557.8785,-758.78314,0.47229004
235114801,-268.86328,18.337067,0.47229004,-996.9477,105.664,0.47229004
235114801,-553.4203,-512.31915,0.47229004,-934.57446,31.209625,0.47229004
235114801,-889.43445,-169.7781,0.47229004,-532.69305,308.33646,0.47229004
235114801,-1045.3572,31.671066,0.47229004,-152.37628,133.19269,0.47229004
235114801,-981.30084,-66.519745,0.47229004,-245.4661,-61.329193,0.47229004
235114801,-535.54333,-750.05756,0.47229004,-1076.8368,41.131035,0.47229004
235114801,-1106.2539,-10.777832,0.47229004,-481.59802,145.61511,0.47229004
235114801,-989.3027,50.249065,0.47229004,-559.9649,-330.37592,0.47229004
235114801,-333.99072,51.31555,0.47229004,-1006.2558,91.70996,0.47229004
235114801,-262.20703,123.64229,0.47229004,-534.6214,-750.06244,0.47229004
235114801,-1041.7467,42.891212,0.47229004,-140.12415,45.51996,0.47229004
235114801,-171.61676,14.538628,0.47229004,-1033.5029,-10.522652,0.47229004
235114801,-951.6905,-161.82831,0.47229004,-238.90039,111.85892,0.47229004
235114801,-181.93152,-46.502007,0.47229004,-1093.2495,238.8339,0.47229004
235114801,-952.51074,-206.25452,0.47229004,-208.08539,113.98183,0.47229004
235114801,-946.13074,-140.25082,0.47229004,-366.51343,67.07173,0.47229004
235114801,-990.6141,-201.11485,0.47229004,-299.03867,17.149303,0.47229004
235114801,-966.37164,-214.5111,0.47229004,-332.2359,141.67099,0.47229004
235114801,-128.54517,-57.98137,0.47229004,-1071.4208,-4.1493683,0.47229004
235114801,-1110.7528,169.06775,0.47229004,-552.43256,-660.7962,0.47229004
