scene_id,start_location_x,start_location_y,start_location_z,goal_location_x,goal_location_y,goal_location_z
debug_0000,-239.74596425278105,-345.6445167020953,0.0,520.3317332367423,399.0193761271813,0.0
debug_0000,244.69462327403508,-325.5650923811924,0.0,-482.86285391800754,194.86172738858488,0.0
debug_0000,-454.37182661393285,-403.66861127490233,0.0,391.39080536503377,273.8321446593434,0.0
debug_0000,-549.251810942631,279.7393405060438,0.0,357.7051248783392,348.7479117319556,0.0
debug_0000,-435.6060091323866,481.6574923651498,0.0,576.1239850178536,-444.37608316322957,0.0
debug_0000,92.76425921701156,246.18564821412878,0.3833233851942626,111.48045925227757,-500.5457448160756,0.41098861814948984
debug_0000,314.9101436057207,-557.488584765862,0.6463549097562417,-272.6131642939771,283.61976319908314,0.0
debug_0000,77.28101519611899,-404.5346450536589,0.145490862333295,-488.3409941318804,268.94813483634596,0.0
debug_0000,267.84792079113726,-429.0049782113689,0.0,-574.1903270193529,234.11055986673358,0.0
debug_0000,-503.596891319094,243.41665195613962,0.0,228.60122841365603,-539.8161660765393,0.3416580358024013
