timestamp[ns],dist,sinYaw,cosYaw
16504942637356,5.471169096278179,0.16877261990336095,-0.9856550120457744
16504942638089,5.471169991293611,0.17079777041085684,-0.9853061055442011
16504942638821,5.47116860446453,0.168426672456531,-0.9857141857583366
16504942639529,5.471165210545961,0.1617786130354663,-0.9868270772350751
16504942640326,5.471159335580641,0.15096215943184563,-0.9885395421629193
16504942641033,5.471152344458757,0.13608185937641795,-0.9906975964181284
16504942641730,5.471145260987134,0.11723735692429692,-0.9931039231326221
16504942642451,5.471139950829388,0.09452878776220272,-0.9955221284754089
16504942643112,5.471135249113464,0.06806164904179887,-0.9976811173564983
16504942643761,5.47113225510529,0.03795232125040987,-0.9992795511325675
16504942644455,5.471131443435072,0.004329483264491057,-0.9999906277434116
16504942645187,5.471134121679829,-0.032656473203064244,-0.9994666351399318
16504942645917,5.471142053993873,-0.07283362767450142,-0.9973441044492979
16504942646649,5.471155741496118,-0.11600061084600156,-0.9932491421004875
16504942647383,5.471176150592061,-0.16192649986974716,-0.9868028215605855
16504942648114,5.471205120733181,-0.21034306346273204,-0.9776276365023204
16504942648828,5.47124328585502,-0.26094809743183855,-0.9653528321016641
16504942649551,5.471291612245295,-0.3133962190077621,-0.9496224565118702
16504942650263,5.4713518901235805,-0.3673043762791569,-0.9301007983902495
16504942651004,5.471424810926493,-0.4222496312591386,-0.9064795910011
16504942651697,5.471513688208645,-0.47776904679050464,-0.8784854796346339
16504942652423,5.471616541599558,-0.5333657509250943,-0.8458847295820573
16504942653143,5.47173447842301,-0.5885077135701353,-0.8084916023487514
16504942653904,5.471867183199472,-0.6426316650062301,-0.766175269198452
16504942654713,5.472015762869815,-0.6951522971982899,-0.7188624929010696
16504942655475,5.472180725444523,-0.7454645738414057,-0.6665452491372595
16504942656320,5.4723630528962905,-0.7929549829122978,-0.6092802270503758
16504942657080,5.472560980663784,-0.8370039222396374,-0.5471968879256013
16504942657801,5.472774333815034,-0.876992841426448,-0.48050344024446384
16504942658508,5.473003544583535,-0.9123206266898921,-0.4094765855530234
16504942659297,5.473247131184257,-0.9424068982452314,-0.3344685906625644
16504942660102,5.473503545255869,-0.9667017976081702,-0.2559055187000316
16504942660883,5.473772811199955,-0.9846947259484019,-0.17428797058145398
16504942661671,5.474052764941917,-0.9959254238938942,-0.09018065225849321
16504942662484,5.47434123415035,-0.9999911468937633,-0.00420786574118269
16504942663302,5.474637078611335,-0.9965544545887339,0.08294105762136725
16504942664134,5.474937652172897,-0.985351769412803,0.17053413299119388
16504942664915,5.475241523767984,-0.9661985608525157,0.257799032206344
16504942665682,5.4755458482306345,-0.9389962279831193,0.3439274397797793
16504942666518,5.475848238245923,-0.9037366194357395,0.42808891914047653
16504942667347,5.476146190637723,-0.8609278468544768,0.5087270805751495
