timestamp[ns],frame
16470449540722,0
16470449543000,1
16470449545089,2
16470449547166,3
16470449549234,4
16470449551243,5
16470449553304,6
16470449555299,7
16470449557425,8
16470449559330,9
16470449561298,10
16470449563315,11
16470449565402,12
16470449567480,13
16470449569554,14
16470449571562,15
16470449573674,16
16470449575679,17
16470449577769,18
16470449579884,19
16470449581885,20
16470449583722,21
16470449585733,22
16470449587725,23
16470449589770,24
16470449591698,25
16470449593664,26
16470449595483,27
16470449597430,28
16470449599310,29
16470449601295,30
16470449603143,31
16470449605066,32
16470449606824,33
16470449608607,34
16470449610333,35
16470449612158,36
16470449613905,37
16470449615635,38
16470449617485,39
16470449619123,40
16470449620924,41
16470449622674,42
16470449624457,43
16470449626225,44
16470449628388,45
16470449630187,46
16470449631968,47
16470449633842,48
16470449635606,49
16470449637318,50
16470449639011,51
16470449640837,52
16470449642650,53
16470449644562,54
16470449646396,55
16470449648304,56
16470449650024,57
16470449651907,58
16470449653650,59
16470449655572,60
16470449657342,61
16470449659108,62
16470449660891,63
16470449662721,64
16470449664360,65
16470449666278,66
16470449668052,67
16470449669794,68
16470449671651,69
16470449673451,70
16470449675206,71
16470449677205,72
16470449679207,73
16470449681365,74
16470449683329,75
16470449685391,76
16470449687374,77
16470449689814,78
16470449691792,79
16470449693706,80
16470449695657,81
16470449697606,82
16470449699614,83
16470449701573,84
16470449703616,85
16470449705363,86
16470449707197,87
16470449709119,88
16470449710866,89
16470449712821,90
16470449714809,91
16470449716767,92
16470449718579,93
16470449720488,94
16470449722462,95
16470449724491,96
16470449726379,97
16470449728186,98
16470449730118,99
