scene_id,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll
apartment_0000,-328.7786404928531,-106.12879075646336,228.00000953674316,0.0,-177.1995864370429,0.0
apartment_0000,-139.19307729568757,166.9897499427505,228.00000953674316,0.0,-82.12089733468757,0.0
apartment_0000,-139.420158707006,483.54101507391806,228.00000953674316,0.0,73.66152550937159,0.0
apartment_0000,34.35504410380996,247.2740696866756,228.00000953674316,0.0,60.67965645519911,0.0
apartment_0000,-117.92383021184114,99.63500222520479,228.00000953674316,0.0,-166.42368852409697,0.0
apartment_0000,176.8862851786372,549.7904242297798,228.00000953674316,0.0,-96.79081903083335,0.0
apartment_0000,-23.50818391031368,267.117020695295,228.00000953674316,0.0,-151.20716160110123,0.0
apartment_0000,-260.1094922816185,-160.78023080072876,228.00000953674316,0.0,36.481203963665735,0.0
apartment_0000,52.34454771847167,162.40230584607878,228.00000953674316,0.0,23.04124242558828,0.0
apartment_0000,-323.20261336082547,372.79267269417466,315.00000953674316,0.0,-169.36834411260895,0.0
debug_0000,180.4924985530919,-219.81174589576713,200.68454482291637,0.0,10.177432081993231,0.0
debug_0000,-215.357025938712,-282.5307045593181,200.15661683817643,0.0,94.93568803119604,0.0
debug_0000,-288.7614109905909,449.3689136432738,200.0,0.0,148.81036798868735,0.0
debug_0000,89.39557730628331,311.08431147977996,200.0,0.0,145.09658729049931,0.0
debug_0000,-301.710431293757,299.9604212753776,200.0,0.0,119.48919364796342,0.0
debug_0000,182.73825873755203,-509.2266482076699,200.66965568763297,0.0,-161.0921198272964,0.0
debug_0000,-156.24363344004988,256.0761568378751,200.0,0.0,147.20248836859844,0.0
debug_0000,-45.71335877078311,-91.08542064081843,200.0,0.0,-162.77099494222026,0.0
debug_0000,369.10697577245963,216.7062182618661,200.87585553870179,0.0,-137.05403200817474,0.0
debug_0000,-64.11467520754378,348.7392527159417,200.0,0.0,99.9584646486926,0.0
