scene_id,pos_x_cms,pos_y_cms,pos_z_cms,pitch_degs,yaw_degs,roll_degs
smart_factory_0000,3186.217,1275.7852,253.58765,0.0,163.9059739506784,0.0
smart_factory_0000,1242.8286,17845.82,253.58765,0.0,44.81562750888867,0.0
smart_factory_0000,-1944.2542,597.53,253.58765,0.0,104.43951784157895,0.0
smart_factory_0000,-2504.4937,10864.771,253.58765,0.0,-158.07498484738505,0.0
smart_factory_0000,2121.9111,13676.94,253.58765,0.0,136.8137546638144,0.0
smart_factory_0000,-9861.381,5265.386,253.58765,0.0,146.8689293737716,0.0
smart_factory_0000,-3101.534,-7910.4746,253.58765,0.0,-62.78735726503241,0.0
smart_factory_0000,-7583.9033,4746.508,253.58765,0.0,-158.2867976963733,0.0
smart_factory_0000,421.82797,12166.99,253.58765,0.0,-71.5622766240463,0.0
smart_factory_0000,8305.71,-6585.373,253.58765,0.0,82.2566376074472,0.0
smart_factory_0000,1186.4506,827.37665,253.58765,0.0,116.42249732048191,0.0
smart_factory_0000,7942.48,-9202.717,253.58765,0.0,-4.400495081898924,0.0
smart_factory_0000,-2119.247,458.4119,253.58765,0.0,129.09284434944783,0.0
smart_factory_0000,-8897.551,-8951.671,253.58765,0.0,109.39886177560919,0.0
smart_factory_0000,-9618.867,10027.727,253.58765,0.0,99.24697179439357,0.0
smart_factory_0000,-1007.1894,6876.1357,253.58765,0.0,-46.59938326728658,0.0
smart_factory_0000,2024.5139,8119.995,253.58765,0.0,176.66666079768464,0.0
smart_factory_0000,4419.208,16312.494,253.58765,0.0,-77.14566184798426,0.0
smart_factory_0000,-939.75616,-10077.659,253.58765,0.0,130.60680060217146,0.0
smart_factory_0000,9650.986,2471.3496,253.58765,0.0,-36.98000616788357,0.0
smart_factory_0000,-2471.9438,15557.363,253.58765,0.0,107.70417977842476,0.0
smart_factory_0000,-3040.4038,13841.112,253.58765,0.0,0.08957324602877748,0.0
smart_factory_0000,8824.402,-12964.359,253.58765,0.0,17.75970388465251,0.0
smart_factory_0000,9735.35,10087.154,253.58765,0.0,-154.13252261366878,0.0
smart_factory_0000,-1141.6819,8064.1416,253.58765,0.0,-106.69158392940066,0.0
smart_factory_0000,2548.601,4331.009,253.58765,0.0,-36.56545548277043,0.0
smart_factory_0000,7993.6367,-15451.119,253.58765,0.0,51.11332452108789,0.0
smart_factory_0000,-4568.84,391.3877,253.58765,0.0,98.62346723306439,0.0
smart_factory_0000,-9695.846,-11235.902,253.58765,0.0,171.49507307370658,0.0
smart_factory_0000,6488.0356,15222.082,253.58765,0.0,111.39229632383558,0.0
smart_factory_0000,-4965.8926,8125.1587,253.58765,0.0,2.809456473970073,0.0
smart_factory_0000,-325.5768,2516.0894,253.58765,0.0,60.969937783554,0.0
smart_factory_0000,-4401.38,15284.163,253.58765,0.0,-59.74724774825668,0.0
smart_factory_0000,-3879.6807,6087.174,253.58765,0.0,-83.48266276554179,0.0
smart_factory_0000,-1219.3892,16042.799,253.58765,0.0,-126.38583924005454,0.0
smart_factory_0000,7292.9224,-237.82321,253.58765,0.0,135.48356963322937,0.0
smart_factory_0000,-2438.309,-9157.992,253.58765,0.0,179.94516478013156,0.0
smart_factory_0000,353.04727,-6778.1807,253.58765,0.0,-80.12416758875008,0.0
